scheme_name,provider_type,coverage,category,target_beneficiary,sector,support_summary,state_applicability,is_entrepreneur_focused,match_fields,match_percentage,application_url,official_source_url,verification_status,last_verified,record_type,notes
BIRAC LEAP Fund,Government,Central,Biotech Investment,Biotech startups,Biotechnology,Follow-on support for eligible biotech startups,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
SPARSH,Government,Central,MedTech / Defence,Startups / innovators,Healthcare; Defence; Technology,Support for innovation in specified strategic areas; verify current call,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
SAMRIDH,Government,Central,Startup Acceleration,Tech startups,Software; IT; Product,Accelerator support for product startups,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
GENESIS,Government,Central,Startup Support,Innovative startups,Technology; Innovation,Support for innovative startups; verify current eligibility,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
STPI NGIS,Government,Central,Incubation,Technology startups,IT; Software; Electronics,Incubation and startup support through STPI,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Chips to Startup (C2S),Government,Central,Semiconductor,Startups / academia / industry,Semiconductor; Electronics,Semiconductor design and ecosystem support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Design Linked Incentive (DLI),Government,Central,Semiconductor Incentive,Eligible semiconductor design companies/startups,Semiconductor; Electronics,Incentives for semiconductor design,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
National Quantum Mission,Government,Central,Deep Tech,Quantum ecosystem,Quantum Technology,Research and innovation ecosystem support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
RDI - Research Development & Innovation,Government,Central,R&D Funding,Innovators / startups / R&D ecosystem,Deep Tech; R&D,Research and innovation funding/support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
iDEX,Government,Central,Defence Innovation,Startups / innovators,Defence; Aerospace,Innovation and procurement support for defence solutions,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
ADITI,Government,Central,Defence Deep Tech,Startups / innovators,Defence; Deep Tech,Support for development of innovative defence technologies,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Technology Development Fund (TDF),Government,Central,Defence Technology,Technology developers,Defence; Technology,Technology development support for eligible defence technologies,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
IN-SPACe Seed Fund,Government,Central,Space Startup Funding,Space startups,Space,Seed support for eligible space-sector startups,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Indian Space Technology Incubation Centres (STIC),Government,Central,Space Incubation,Space innovators / startups,Space,Incubation ecosystem support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
AgriSURE,Government,Central,Agritech Funding,Agri startups / rural enterprises,Agriculture; Agritech,Funding support for eligible agriculture startups,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
RKVY Innovation & Agri-Entrepreneurship,Government,Central,Agritech,Agri entrepreneurs / startups,Agriculture; Agritech,Innovation and entrepreneurship support in agriculture,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
MUDRA / PMMY,Government,Central,Business Credit,Micro enterprises / entrepreneurs,Multiple,Micro-enterprise credit through eligible lenders,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PMEGP,Government,Central,Credit-linked Subsidy,New micro enterprises,Manufacturing; Services,Credit-linked subsidy for eligible new micro enterprises,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
CGTMSE,Government,Central,Credit Guarantee,Micro & Small Enterprises,Multiple,Credit guarantee support for eligible MSE loans,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Stand-Up India,Government,Central,Business Credit,Eligible women and SC/ST entrepreneurs,Manufacturing; Services; Trading,Bank loans for eligible greenfield enterprises,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PM Vishwakarma,Government,Central,Artisan Support,Traditional artisans / craftspeople,Traditional trades,"Financial, skills and market support for eligible artisans",All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
ESDP - Entrepreneurship & Skill Development Programme,Government,Central,Training,Aspiring / existing entrepreneurs,Multiple,Entrepreneurship and skill development training,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
National SC/ST Hub,Government,Central,Entrepreneur Support,SC/ST entrepreneurs / MSEs,Multiple,Support for SC/ST entrepreneurs and procurement enablement,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
MSE-CDP,Government,Central,Cluster Development,MSE clusters,Multiple,Cluster infrastructure and common facility support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
SFURTI,Government,Central,Traditional Industries,Traditional industry clusters / artisans,Traditional industries,Cluster development and infrastructure support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
ASPIRE,Government,Central,Rural Entrepreneurship,Startups / innovators / rural enterprises,Rural industries,"Innovation, incubation and rural entrepreneurship support",All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
"MSME Innovative - Incubation, Design & IPR",Government,Central,Innovation & IP,MSMEs / innovators,Multiple,"Incubation, design and IP support",All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
MSME Competitive - LEAN,Government,Central,Productivity,MSMEs,Manufacturing; Multiple,Lean manufacturing implementation support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
MSME Sustainable - ZED,Government,Central,Quality & Sustainability,MSMEs,Multiple,ZED assessment/certification support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
MSE-SPICE,Government,Central,Circular Economy,MSEs,Circular economy; Manufacturing,Support for circular-economy technologies,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
MSE-GIFT,Government,Central,Green Finance,MSEs,Green transition; Manufacturing,Support for energy-efficient and cleaner technologies,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
MSME-TEAM,Government,Central,Digital Market Access,MSEs,Multiple,"Digital commerce, cataloguing, branding and market enablement",All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Procurement & Marketing Support Scheme,Government,Central,Market Access,MSEs,Multiple,Procurement and market-development support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PMFME,Government,Central,Food Processing,Micro food-processing enterprises,Food Processing,Credit-linked subsidy and support for eligible food-processing enterprises,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.mofpi.gov.in/en,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PMKSY - Mega Food Parks,Government,Central,Food Processing Infrastructure,Food businesses / clusters,Food Processing,Food-processing infrastructure support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.mofpi.gov.in/en,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PMKSY - Cold Chain,Government,Central,Food Processing Infrastructure,Food businesses,Food Processing; Logistics,Cold-chain infrastructure support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.mofpi.gov.in/en,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PMKSY - Agro Processing Cluster,Government,Central,Food Processing Infrastructure,Agri-food businesses,Food Processing; Agriculture,Agro-processing cluster support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.mofpi.gov.in/en,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PLISFPI,Government,Central,Food Processing Incentive,Eligible food-processing enterprises,Food Processing,Incentives linked to sales/investment and branding; verify eligibility,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.mofpi.gov.in/en,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Operation Greens,Government,Central,Agriculture & Food Processing,Agri/Food enterprises,Agriculture; Food Processing,Support for value chains and specified crops,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.mofpi.gov.in/en,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Andhra Pradesh Innovation & Startup Policy 4.0,Government,State - Andhra Pradesh,State Startup Policy,Startups / entrepreneurs,Multiple,State startup incentives and ecosystem support; verify individual benefits,State - Andhra Pradesh,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Assam Startup & Innovation Policy 2025,Government,State - Assam,State Startup Policy,Startups / entrepreneurs,Multiple,State startup incentives and support,State - Assam,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Bihar Startup Policy 2022,Government,State - Bihar,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support and incentives,State - Bihar,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Goa Startup Policy 2025,Government,State - Goa,State Startup Policy,Startups / entrepreneurs,Multiple,State startup incentives and ecosystem support,State - Goa,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Gujarat Industrial Policy Startup/Innovation Assistance,Government,State - Gujarat,State Startup Policy,Startups / innovators,Multiple,Startup and innovation assistance under Gujarat policy,State - Gujarat,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Haryana State Startup Policy,Government,State - Haryana,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support,State - Haryana,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Himachal Pradesh Startup/Innovation/New Industries Scheme,Government,State - Himachal Pradesh,State Startup Policy,Startups / entrepreneurs,Multiple,"Startup, innovation and new-industry support",State - Himachal Pradesh,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Jammu & Kashmir Startup Policy 2024-2027,Government,State - Jammu & Kashmir,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support,State - Jammu & Kashmir,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Jharkhand Startup Policy 2023,Government,State - Jharkhand,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support,State - Jharkhand,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Karnataka Startup Policy 2025-2030,Government,State - Karnataka,State Startup Policy,Startups / entrepreneurs,Multiple,State startup ecosystem support,State - Karnataka,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Kerala Startup Policy,Government,State - Kerala,State Startup Policy,Startups / entrepreneurs,Multiple,State startup ecosystem support,State - Kerala,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Madhya Pradesh Startup Policy & Implementation Scheme 2025,Government,State - Madhya Pradesh,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support and incentives,State - Madhya Pradesh,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
"Maharashtra Startup, Entrepreneurship & Innovation Policy 2025",Government,State - Maharashtra,State Startup Policy,Startups / entrepreneurs,Multiple,"Startup, entrepreneurship and innovation support",State - Maharashtra,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Manipur Startup Scheme 2.0,Government,State - Manipur,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support,State - Manipur,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Odisha Startup Policy,Government,State - Odisha,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support,State - Odisha,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Puducherry Innovation & Startup Policy,Government,UT - Puducherry,State Startup Policy,Startups / entrepreneurs,Multiple,Startup and innovation support,UT - Puducherry,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Punjab Startup Policy 2026,Government,State - Punjab,State Startup Policy,Startups / entrepreneurs,Multiple,State startup support,State - Punjab,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Rajasthan Startup Policy 2022,Government,State - Rajasthan,State Startup Policy,Startups / entrepreneurs,Multiple,Startup support and incentives,State - Rajasthan,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Sikkim Start-up Policy 2025,Government,State - Sikkim,State Startup Policy,Startups / entrepreneurs,Multiple,Startup support,State - Sikkim,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Tamil Nadu Startup & Innovation Policy 2023,Government,State - Tamil Nadu,State Startup Policy,Startups / entrepreneurs,Multiple,Startup and innovation support,State - Tamil Nadu,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Telangana Innovation Policy,Government,State - Telangana,State Startup Policy,Startups / entrepreneurs,Multiple,Startup and innovation ecosystem support,State - Telangana,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Tripura Startup Policy 2024,Government,State - Tripura,State Startup Policy,Startups / entrepreneurs,Multiple,Startup support,State - Tripura,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Uttar Pradesh Startup Policy 2026,Government,State - Uttar Pradesh,State Startup Policy,Startups / entrepreneurs,Multiple,Startup support and incentives,State - Uttar Pradesh,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Uttarakhand Startup Policy 2023,Government,State - Uttarakhand,State Startup Policy,Startups / entrepreneurs,Multiple,Startup support,State - Uttarakhand,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/tejas.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Google for Startups Accelerator India,Private,India,Accelerator,Tech startups,Technology,"Mentorship, technical support and ecosystem access; program availability varies",India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,,requires_current_program_verification,2026-09-09,private_program,"Private program; verify current availability, eligibility and benefits before production use."
Microsoft for Startups Founders Hub,Private,India / Global,Startup Platform,Startups / founders,Technology,"Cloud, tools, mentorship and startup resources; benefits depend on eligibility",India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,,requires_current_program_verification,2026-09-09,private_program,"Private program; verify current availability, eligibility and benefits before production use."
AWS Activate,Private,India / Global,Cloud Credits,Startups,Technology,Cloud credits and startup resources for eligible startups,India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,,requires_current_program_verification,2026-09-09,private_program,"Private program; verify current availability, eligibility and benefits before production use."
NVIDIA Inception,Private,India / Global,Deep Tech Program,Startups,AI; Deep Tech,"Technical resources, preferred pricing and ecosystem support for eligible startups",India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,,requires_current_program_verification,2026-09-09,private_program,"Private program; verify current availability, eligibility and benefits before production use."
